,Year,Stars,Position,Name,Class,Previous School,New School,RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
10,2019,5,PG,"Derryck Thornton, Jr.",RS N/A,USC,Boston College,58,USC,P12,31,22,103.6,91.9,0.799,49.5,44.6,20.4,18.1,30.6,27.9,35.4,28,48.1,43.1,35,31.3,69.1,1.8
11,2019,4,PF,J'Raan Brooks,RS SO,USC,Washington,58,USC,P12,31,22,103.6,91.9,0.799,49.5,44.6,20.4,18.1,30.6,27.9,35.4,28,48.1,43.1,35,31.3,69.1,1.8
12,2019,3.7,C,Chinedu 'Victor' Uyaelunmo,RS JR,USC,Towson,58,USC,P12,31,22,103.6,91.9,0.799,49.5,44.6,20.4,18.1,30.6,27.9,35.4,28,48.1,43.1,35,31.3,69.1,1.8
13,2019,3.3,SF,Jordan Usher,SR,USC,Georgia Tech,58,USC,P12,31,22,103.6,91.9,0.799,49.5,44.6,20.4,18.1,30.6,27.9,35.4,28,48.1,43.1,35,31.3,69.1,1.8
14,2018,2.7,C,Harrison Henderson,RS SR,USC,Milwaukee,58,USC,P12,31,22,103.6,91.9,0.799,49.5,44.6,20.4,18.1,30.6,27.9,35.4,28,48.1,43.1,35,31.3,69.1,1.8
15,2018,5,SG,Mustapha Heron,,Auburn,St. John's,39,Auburn,SEC,31,25,111.1,96.1,0.8415,50,47.1,17.9,18.7,35.3,27.4,43.8,33.9,53.3,46.2,30.6,32.5,69.3,4.6
16,2018,4,PG,Davion Mitchell,RS JR,Auburn,Baylor,39,Auburn,SEC,31,25,111.1,96.1,0.8415,50,47.1,17.9,18.7,35.3,27.4,43.8,33.9,53.3,46.2,30.6,32.5,69.3,4.6
17,2018,2,SF,DeSean Murray,RS N/A,Auburn,Western Kentucky,39,Auburn,SEC,31,25,111.1,96.1,0.8415,50,47.1,17.9,18.7,35.3,27.4,43.8,33.9,53.3,46.2,30.6,32.5,69.3,4.6
18,2019,4.7,PF,Jordan Brown,RS SO,Nevada,Arizona,80,Nevada,MWC,31,19,110.1,100.2,0.7476,52.9,47,16.7,15.2,25.2,24.4,28.3,36.5,49.5,48.8,38.3,29.8,71.1,-3.7
19,2018,3.3,PF,Josh Hall,RS SR,Nevada,Missouri State,80,Nevada,MWC,31,19,110.1,100.2,0.7476,52.9,47,16.7,15.2,25.2,24.4,28.3,36.5,49.5,48.8,38.3,29.8,71.1,-3.7
20,2019,3,SF,Shamiel Stevenson,RS JR,Nevada,Nebraska,80,Nevada,MWC,31,19,110.1,100.2,0.7476,52.9,47,16.7,15.2,25.2,24.4,28.3,36.5,49.5,48.8,38.3,29.8,71.1,-3.7
21,2019,3,C,Vincent Lee,RS SO,Nevada,Cal State Fullerton,80,Nevada,MWC,31,19,110.1,100.2,0.7476,52.9,47,16.7,15.2,25.2,24.4,28.3,36.5,49.5,48.8,38.3,29.8,71.1,-3.7
22,2019,2.7,PG,JoJo Anderson,RS SR,Nevada,Albany,80,Nevada,MWC,31,19,110.1,100.2,0.7476,52.9,47,16.7,15.2,25.2,24.4,28.3,36.5,49.5,48.8,38.3,29.8,71.1,-3.7
23,2019,2,SG,Michael Lewis II,,Nevada,Saint Louis,80,Nevada,MWC,31,19,110.1,100.2,0.7476,52.9,47,16.7,15.2,25.2,24.4,28.3,36.5,49.5,48.8,38.3,29.8,71.1,-3.7
24,2019,2,SF,Jalen Townsell,RS SO,Nevada,Arizona Western College,80,Nevada,MWC,31,19,110.1,100.2,0.7476,52.9,47,16.7,15.2,25.2,24.4,28.3,36.5,49.5,48.8,38.3,29.8,71.1,-3.7
25,2018,2,PG,John Jones,RS JR,Nevada,Texas Southern,80,Nevada,MWC,31,19,110.1,100.2,0.7476,52.9,47,16.7,15.2,25.2,24.4,28.3,36.5,49.5,48.8,38.3,29.8,71.1,-3.7
26,2018,2,PG,Charlie Tooley,,Nevada,Cal State Monterey Bay,80,Nevada,MWC,31,19,110.1,100.2,0.7476,52.9,47,16.7,15.2,25.2,24.4,28.3,36.5,49.5,48.8,38.3,29.8,71.1,-3.7
27,2019,4.7,PF,Miles Norris,JR,Oregon,City College of San Francisco,18,Oregon,P12,31,24,117.5,97.4,0.8968,54.3,47.3,17.5,19.8,32.7,31.1,28.9,29.5,51.4,46.2,39.6,32.6,65.2,4.7
28,2019,4,PG,"Victor Bailey, Jr.",RS JR,Oregon,Tennessee,18,Oregon,P12,31,24,117.5,97.4,0.8968,54.3,47.3,17.5,19.8,32.7,31.1,28.9,29.5,51.4,46.2,39.6,32.6,65.2,4.7
29,2018,3.7,SF,Keith Smith,RS SR,Oregon,Pepperdine,18,Oregon,P12,31,24,117.5,97.4,0.8968,54.3,47.3,17.5,19.8,32.7,31.1,28.9,29.5,51.4,46.2,39.6,32.6,65.2,4.7
30,2018,3.7,C,"Michael 'M.J.' Cage, Jr.",RS SR,Oregon,Pepperdine,18,Oregon,P12,31,24,117.5,97.4,0.8968,54.3,47.3,17.5,19.8,32.7,31.1,28.9,29.5,51.4,46.2,39.6,32.6,65.2,4.7
31,2019,3.3,SF,Abu Kigab,SR,Oregon,Boise State,18,Oregon,P12,31,24,117.5,97.4,0.8968,54.3,47.3,17.5,19.8,32.7,31.1,28.9,29.5,51.4,46.2,39.6,32.6,65.2,4.7
32,2019,4.7,SG,Quentin Grimes,JR,Kansas,Houston,1,Kansas,B12,30,28,116.1,87.7,0.9616,53.7,43.7,18.7,18.6,32.6,26.4,35.8,23.2,54.9,42.4,34.1,30.5,67.4,10.8
33,2018,4,SG,Sam Cunliffe,RS SR,Kansas,Evansville,1,Kansas,B12,30,28,116.1,87.7,0.9616,53.7,43.7,18.7,18.6,32.6,26.4,35.8,23.2,54.9,42.4,34.1,30.5,67.4,10.8
34,2019,4,PG,Charlie Moore,RS SR,Kansas,DePaul,1,Kansas,B12,30,28,116.1,87.7,0.9616,53.7,43.7,18.7,18.6,32.6,26.4,35.8,23.2,54.9,42.4,34.1,30.5,67.4,10.8
35,2019,4,SF,Keelon 'K.J.' Lawson,,Kansas,Tulane,1,Kansas,B12,30,28,116.1,87.7,0.9616,53.7,43.7,18.7,18.6,32.6,26.4,35.8,23.2,54.9,42.4,34.1,30.5,67.4,10.8
36,2019,2,PG,Garrett Luinstra,JR,Kansas,Central Missouri,1,Kansas,B12,30,28,116.1,87.7,0.9616,53.7,43.7,18.7,18.6,32.6,26.4,35.8,23.2,54.9,42.4,34.1,30.5,67.4,10.8
37,2019,4.7,PF,Khavon Moore,RS SO,Texas Tech,Clemson,22,Texas Tech,B12,31,18,109.9,91.7,0.8891,51.8,46.3,19.7,23.1,27.9,29.2,34.5,35.4,50.9,46.2,35.6,31,67.2,-0.4
38,2018,3.7,PG,C.J. Roberts,RS JR,Texas Tech,Broward College,22,Texas Tech,B12,31,18,109.9,91.7,0.8891,51.8,46.3,19.7,23.1,27.9,29.2,34.5,35.4,50.9,46.2,35.6,31,67.2,-0.4
39,2018,3.7,PG,Hyron Edwards,RS N/A,Texas Tech,Colorado State,22,Texas Tech,B12,31,18,109.9,91.7,0.8891,51.8,46.3,19.7,23.1,27.9,29.2,34.5,35.4,50.9,46.2,35.6,31,67.2,-0.4
40,2019,3,PF,Josh Mballa,JR,Texas Tech,Buffalo,22,Texas Tech,B12,31,18,109.9,91.7,0.8891,51.8,46.3,19.7,23.1,27.9,29.2,34.5,35.4,50.9,46.2,35.6,31,67.2,-0.4
41,2018,2,SG,Joshua Webster,RS N/A,Texas Tech,Missouri State,22,Texas Tech,B12,31,18,109.9,91.7,0.8891,51.8,46.3,19.7,23.1,27.9,29.2,34.5,35.4,50.9,46.2,35.6,31,67.2,-0.4
42,2019,2,PF,Malik Ondigo,RS JR,Texas Tech,Rice,22,Texas Tech,B12,31,18,109.9,91.7,0.8891,51.8,46.3,19.7,23.1,27.9,29.2,34.5,35.4,50.9,46.2,35.6,31,67.2,-0.4
43,2019,2,SF,Parker Hicks,SR,Texas Tech,Lubbock Christian,22,Texas Tech,B12,31,18,109.9,91.7,0.8891,51.8,46.3,19.7,23.1,27.9,29.2,34.5,35.4,50.9,46.2,35.6,31,67.2,-0.4
44,2018,2,PG,Alex Vilarino,RS JR,Texas Tech,Boston University,22,Texas Tech,B12,31,18,109.9,91.7,0.8891,51.8,46.3,19.7,23.1,27.9,29.2,34.5,35.4,50.9,46.2,35.6,31,67.2,-0.4
45,2019,4.7,SG,Emmanuel Akot,RS JR,Arizona,Boise State,13,Arizona,P12,32,21,110.9,91.2,0.904,50.7,45.3,16.7,20.6,30.7,25.9,36.7,35.2,49.6,44.4,35.2,31.2,69.3,0.8
46,2019,4,PG,Alex Barcello,SR,Arizona,Brigham Young,13,Arizona,P12,32,21,110.9,91.2,0.904,50.7,45.3,16.7,20.6,30.7,25.9,36.7,35.2,49.6,44.4,35.2,31.2,69.3,0.8
47,2019,2,SG,Omar Thielemans,RS SO,Arizona,Milwaukee,13,Arizona,P12,32,21,110.9,91.2,0.904,50.7,45.3,16.7,20.6,30.7,25.9,36.7,35.2,49.6,44.4,35.2,31.2,69.3,0.8
48,2019,2,SG,Alec Spence,JR,Arizona,Iowa Western Community College,13,Arizona,P12,32,21,110.9,91.2,0.904,50.7,45.3,16.7,20.6,30.7,25.9,36.7,35.2,49.6,44.4,35.2,31.2,69.3,0.8
49,2019,4.3,SF,D.J. Harvey,RS JR,Notre Dame,Vanderbilt,55,Notre Dame,ACC,32,20,111.2,98.5,0.8006,50.4,47.5,14.2,16.8,26.9,28.1,25,19.7,49.4,45.8,34.5,33.7,68.1,-1.1
50,2019,3,PF,Elijah Burns,RS N/A,Notre Dame,Siena,55,Notre Dame,ACC,32,20,111.2,98.5,0.8006,50.4,47.5,14.2,16.8,26.9,28.1,25,19.7,49.4,45.8,34.5,33.7,68.1,-1.1
51,2019,4.3,PG,Jahvon Quinerly,RS SO,Villanova,Alabama,11,Villanova,BE,31,24,114,93.7,0.9045,52.6,48.2,16,16.9,25.7,24.5,26.9,23.6,51.5,47.9,35.9,32.5,66.2,6.8
52,2019,3.3,PF,Tim Delaney,RS N/A,Villanova,Adelphi,11,Villanova,BE,31,24,114,93.7,0.9045,52.6,48.2,16,16.9,25.7,24.5,26.9,23.6,51.5,47.9,35.9,32.5,66.2,6.8
53,2019,3.3,C,Dylan Painter,RS SR,Villanova,Delaware,11,Villanova,BE,31,24,114,93.7,0.9045,52.6,48.2,16,16.9,25.7,24.5,26.9,23.6,51.5,47.9,35.9,32.5,66.2,6.8
54,2019,4.3,PF,Joey Hauser,RS JR,Marquette,Michigan State,33,Marquette,BE,30,18,113.9,97.4,0.8581,51.6,46.8,18.9,15.1,30,26,39.2,34.9,46.9,46,38.2,32.2,70.8,1.2
55,2018,4,SG,Haanif Cheatham,RS N/A,Marquette,Florida Gulf Coast,33,Marquette,BE,30,18,113.9,97.4,0.8581,51.6,46.8,18.9,15.1,30,26,39.2,34.9,46.9,46,38.2,32.2,70.8,1.2
56,2019,3.7,SF,Sam Hauser,RS SR,Marquette,Virginia,33,Marquette,BE,30,18,113.9,97.4,0.8581,51.6,46.8,18.9,15.1,30,26,39.2,34.9,46.9,46,38.2,32.2,70.8,1.2
57,2018,4.3,PF,Reid Travis,RS N/A,Stanford,Kentucky,45,Stanford,P12,32,20,104.2,90.7,0.8315,53.5,45.6,20.7,22.5,22.1,27.8,31,31.8,52.1,46.3,37.3,29.6,68.1,-1.5
58,2019,4,PG,Cormac Ryan,RS SO,Stanford,Notre Dame,45,Stanford,P12,32,20,104.2,90.7,0.8315,53.5,45.6,20.7,22.5,22.1,27.8,31,31.8,52.1,46.3,37.3,29.6,68.1,-1.5
59,2018,4,PG,Robert Cartwright,RS N/A,Stanford,UC Irvine,45,Stanford,P12,32,20,104.2,90.7,0.8315,53.5,45.6,20.7,22.5,22.1,27.8,31,31.8,52.1,46.3,37.3,29.6,68.1,-1.5
60,2019,3.3,SF,Marcus Sheffield II,RS N/A,Stanford,Elon,45,Stanford,P12,32,20,104.2,90.7,0.8315,53.5,45.6,20.7,22.5,22.1,27.8,31,31.8,52.1,46.3,37.3,29.6,68.1,-1.5
61,2019,4,SF,Boubacar Diakite,RS JR,Iona,Iowa Western Community College,228,Iona,MAAC,29,12,101.5,107.2,0.3493,51,49.4,20.5,18.7,25.1,31.7,33.7,34.2,51.8,46,33.3,36.3,68.5,-12.9
62,2018,2,PF,Gavin Kensmil,SR,Iona,Navarro College,228,Iona,MAAC,29,12,101.5,107.2,0.3493,51,49.4,20.5,18.7,25.1,31.7,33.7,34.2,51.8,46,33.3,36.3,68.5,-12.9
63,2018,2,PG,C.J. Seaforth,SR,Iona,Southern Connecticut State,228,Iona,MAAC,29,12,101.5,107.2,0.3493,51,49.4,20.5,18.7,25.1,31.7,33.7,34.2,51.8,46,33.3,36.3,68.5,-12.9
64,2019,2,SF,Roland Griffin,RS N/A,Iona,Jackson State,228,Iona,MAAC,29,12,101.5,107.2,0.3493,51,49.4,20.5,18.7,25.1,31.7,33.7,34.2,51.8,46,33.3,36.3,68.5,-12.9
65,2019,2,PG,Payton Hudson,JR,Iona,Independence Community College,228,Iona,MAAC,29,12,101.5,107.2,0.3493,51,49.4,20.5,18.7,25.1,31.7,33.7,34.2,51.8,46,33.3,36.3,68.5,-12.9
66,2018,2,PF,Tyrell Williams,RS N/A,Iona,Albany State,228,Iona,MAAC,29,12,101.5,107.2,0.3493,51,49.4,20.5,18.7,25.1,31.7,33.7,34.2,51.8,46,33.3,36.3,68.5,-12.9
67,2018,2,PG,Schadrac Casimir,RS N/A,Iona,Florida Gulf Coast,228,Iona,MAAC,29,12,101.5,107.2,0.3493,51,49.4,20.5,18.7,25.1,31.7,33.7,34.2,51.8,46,33.3,36.3,68.5,-12.9
68,2018,2,PF,Branden Aughburns,RS N/A,Iona,Holy Family,228,Iona,MAAC,29,12,101.5,107.2,0.3493,51,49.4,20.5,18.7,25.1,31.7,33.7,34.2,51.8,46,33.3,36.3,68.5,-12.9
69,2019,4,PF,Carte'Are Gordon,RS SO,DePaul,Northwest Florida State College,96,DePaul,BE,31,16,102.6,95.3,0.7008,47.9,48.8,20.4,22.2,31.3,30.2,33.3,35.4,48.4,47.9,31.1,33.4,70.4,-2.6
70,2018,4,SG,Austin Grandstaff,RS N/A,DePaul,Texas A&M–Commerce,96,DePaul,BE,31,16,102.6,95.3,0.7008,47.9,48.8,20.4,22.2,31.3,30.2,33.3,35.4,48.4,47.9,31.1,33.4,70.4,-2.6
71,2018,3.7,PG,Justin Roberts,RS JR,DePaul,Georgia State,96,DePaul,BE,31,16,102.6,95.3,0.7008,47.9,48.8,20.4,22.2,31.3,30.2,33.3,35.4,48.4,47.9,31.1,33.4,70.4,-2.6
72,2018,3,SG,Brandon Cyrus,RS SR,DePaul,UC Santa Barbara,96,DePaul,BE,31,16,102.6,95.3,0.7008,47.9,48.8,20.4,22.2,31.3,30.2,33.3,35.4,48.4,47.9,31.1,33.4,70.4,-2.6
73,2018,2.7,C,Levi Cook,RS SR,DePaul,Marshall,96,DePaul,BE,31,16,102.6,95.3,0.7008,47.9,48.8,20.4,22.2,31.3,30.2,33.3,35.4,48.4,47.9,31.1,33.4,70.4,-2.6
74,2019,2,SG,John Diener,RS SO,DePaul,UC San Diego,96,DePaul,BE,31,16,102.6,95.3,0.7008,47.9,48.8,20.4,22.2,31.3,30.2,33.3,35.4,48.4,47.9,31.1,33.4,70.4,-2.6
75,2019,2,PF,George Maslennikov,JR,DePaul,Saddleback College,96,DePaul,BE,31,16,102.6,95.3,0.7008,47.9,48.8,20.4,22.2,31.3,30.2,33.3,35.4,48.4,47.9,31.1,33.4,70.4,-2.6
76,2018,4,C,James Banks,,Texas,Georgia Tech,67,Texas,B12,31,19,103.3,92.7,0.7761,49.9,46.9,20.5,20.8,26.7,32.2,22,35.3,49.7,46.3,33.5,32.2,65.9,1
77,2018,3.7,SG,Jacob Young,RS SR,Texas,Rutgers,67,Texas,B12,31,19,103.3,92.7,0.7761,49.9,46.9,20.5,20.8,26.7,32.2,22,35.3,49.7,46.3,33.5,32.2,65.9,1
78,2019,2,PG,Elijah Mitrou-Long,RS N/A,Texas,UNLV,67,Texas,B12,31,19,103.3,92.7,0.7761,49.9,46.9,20.5,20.8,26.7,32.2,22,35.3,49.7,46.3,33.5,32.2,65.9,1
79,2018,2,SG,Isaiah Hobbs,RS N/A,Texas,Barry,67,Texas,B12,31,19,103.3,92.7,0.7761,49.9,46.9,20.5,20.8,26.7,32.2,22,35.3,49.7,46.3,33.5,32.2,65.9,1
80,2019,4,C,Joey Brunk,RS SR,Butler,Indiana,24,Butler,BE,31,22,112.7,94.6,0.8817,52.3,45.8,17.3,17.9,29.4,25.4,29.4,30.9,52.9,43.5,34.1,33,63.7,4.5
81,2018,2.3,SG,Cooper Neese,RS JR,Butler,Indiana State,24,Butler,BE,31,22,112.7,94.6,0.8817,52.3,45.8,17.3,17.9,29.4,25.4,29.4,30.9,52.9,43.5,34.1,33,63.7,4.5
82,2019,2,SG,Jerald Gillens-Butler,RS JR,Butler,Elon,24,Butler,BE,31,22,112.7,94.6,0.8817,52.3,45.8,17.3,17.9,29.4,25.4,29.4,30.9,52.9,43.5,34.1,33,63.7,4.5
83,2018,4,SF,Boubacar Diakite,RS JR,St. John's,Iona,57,St. John's,BE,32,17,106.8,94.7,0.7992,45.9,48.2,15.1,22.7,30,31.4,30,36.2,44.9,48.7,32.1,31.7,73,-2.5
84,2019,4,SG,Eli Wright,RS SR,St. John's,Western Kentucky,57,St. John's,BE,32,17,106.8,94.7,0.7992,45.9,48.2,15.1,22.7,30,31.4,30,36.2,44.9,48.7,32.1,31.7,73,-2.5
85,2019,3.7,C,Sedee Keita,RS SR,St. John's,Florida International,57,St. John's,BE,32,17,106.8,94.7,0.7992,45.9,48.2,15.1,22.7,30,31.4,30,36.2,44.9,48.7,32.1,31.7,73,-2.5
86,2018,3.3,PF,Kassoum Yakwe,,St. John's,Connecticut,57,St. John's,BE,32,17,106.8,94.7,0.7992,45.9,48.2,15.1,22.7,30,31.4,30,36.2,44.9,48.7,32.1,31.7,73,-2.5
87,2018,3,PF,Tariq Owens,RS N/A,St. John's,Texas Tech,57,St. John's,BE,32,17,106.8,94.7,0.7992,45.9,48.2,15.1,22.7,30,31.4,30,36.2,44.9,48.7,32.1,31.7,73,-2.5
88,2019,3,SG,"Bryan Trimble, Jr.",RS JR,St. John's,Akron,57,St. John's,BE,32,17,106.8,94.7,0.7992,45.9,48.2,15.1,22.7,30,31.4,30,36.2,44.9,48.7,32.1,31.7,73,-2.5
89,2019,2,PG,Mikey Dixon,RS SR,St. John's,GCU,57,St. John's,BE,32,17,106.8,94.7,0.7992,45.9,48.2,15.1,22.7,30,31.4,30,36.2,44.9,48.7,32.1,31.7,73,-2.5
90,2018,4,SF,Galen Alexander,SR,LSU,Jones County Junior College,43,LSU,SEC,31,21,118.2,102.5,0.8373,52.7,49.4,17.6,16.6,35.1,28.5,35.4,26.4,54.7,47.8,32.7,34.5,69.9,0.9
91,2018,4,C,Elbert Robinson III,RS N/A,LSU,Old Dominion,43,LSU,SEC,31,21,118.2,102.5,0.8373,52.7,49.4,17.6,16.6,35.1,28.5,35.4,26.4,54.7,47.8,32.7,34.5,69.9,0.9
92,2018,4,SF,Brandon Rachal,SR,LSU,Pearl River Community College,43,LSU,SEC,31,21,118.2,102.5,0.8373,52.7,49.4,17.6,16.6,35.1,28.5,35.4,26.4,54.7,47.8,32.7,34.5,69.9,0.9
93,2018,3,PG,Jalyn Patterson,RS N/A,LSU,Texas Southern,43,LSU,SEC,31,21,118.2,102.5,0.8373,52.7,49.4,17.6,16.6,35.1,28.5,35.4,26.4,54.7,47.8,32.7,34.5,69.9,0.9
94,2019,2,SG,Daryl Edwards,RS N/A,LSU,UTEP,43,LSU,SEC,31,21,118.2,102.5,0.8373,52.7,49.4,17.6,16.6,35.1,28.5,35.4,26.4,54.7,47.8,32.7,34.5,69.9,0.9
95,2018,2,PF,Jeremy Combs,RS N/A,LSU,Texas Southern,43,LSU,SEC,31,21,118.2,102.5,0.8373,52.7,49.4,17.6,16.6,35.1,28.5,35.4,26.4,54.7,47.8,32.7,34.5,69.9,0.9
96,2019,2,PG,Danya Kingsby,RS SR,LSU,Bradley,43,LSU,SEC,31,21,118.2,102.5,0.8373,52.7,49.4,17.6,16.6,35.1,28.5,35.4,26.4,54.7,47.8,32.7,34.5,69.9,0.9
97,2019,4,PF,Clifton Moore,RS JR,Indiana,La Salle,36,Indiana,B10,32,20,108.1,93.3,0.8444,49.3,47.9,18.3,17.8,32.4,24.5,39.2,32.6,49.5,47.6,32.6,32.2,67.9,1.8
98,2018,4,SG,"Curtis 'Cujo' Jones, Jr.",,Indiana,Oklahoma State,36,Indiana,B10,32,20,108.1,93.3,0.8444,49.3,47.9,18.3,17.8,32.4,24.5,39.2,32.6,49.5,47.6,32.6,32.2,67.9,1.8
99,2019,4,PF,Jake Forrester,JR,Indiana,Temple,36,Indiana,B10,32,20,108.1,93.3,0.8444,49.3,47.9,18.3,17.8,32.4,24.5,39.2,32.6,49.5,47.6,32.6,32.2,67.9,1.8
100,2019,2,SG,Vijay Blackmon,RS SR,Indiana,Lindenwood,36,Indiana,B10,32,20,108.1,93.3,0.8444,49.3,47.9,18.3,17.8,32.4,24.5,39.2,32.6,49.5,47.6,32.6,32.2,67.9,1.8
101,2018,2,SG,Ethan Lasko,RS JR,Indiana,Manhattan,36,Indiana,B10,32,20,108.1,93.3,0.8444,49.3,47.9,18.3,17.8,32.4,24.5,39.2,32.6,49.5,47.6,32.6,32.2,67.9,1.8
102,2018,4,SG,Kameron McGusty,RS SR,Oklahoma,Miami,37,Oklahoma,B12,31,19,108.2,93.4,0.8442,48.2,46.7,16,16.7,23.4,27.4,31.3,19.7,48.6,44.2,31.8,33.6,69.7,2.1
103,2019,2.5,PF,Matt Freeman,RS N/A,Oklahoma,UC Santa Barbara,37,Oklahoma,B12,31,19,108.2,93.4,0.8442,48.2,46.7,16,16.7,23.4,27.4,31.3,19.7,48.6,44.2,31.8,33.6,69.7,2.1
104,2019,2,C,Hannes Pöllä,SR,Oklahoma,UT Martin,37,Oklahoma,B12,31,19,108.2,93.4,0.8442,48.2,46.7,16,16.7,23.4,27.4,31.3,19.7,48.6,44.2,31.8,33.6,69.7,2.1
105,2019,2,SG,Ty Lazenby,RS N/A,Oklahoma,Oral Roberts,37,Oklahoma,B12,31,19,108.2,93.4,0.8442,48.2,46.7,16,16.7,23.4,27.4,31.3,19.7,48.6,44.2,31.8,33.6,69.7,2.1
106,2018,2,PG,Jordan Shepherd,RS SR,Oklahoma,Charlotte,37,Oklahoma,B12,31,19,108.2,93.4,0.8442,48.2,46.7,16,16.7,23.4,27.4,31.3,19.7,48.6,44.2,31.8,33.6,69.7,2.1
107,2019,4,C,Chris Sodom,RS JR,George Washington,Iowa Western Community College,227,George Washington,A10,32,12,99.1,104.6,0.3502,49,50.1,19.4,15.7,23,26.7,32.8,31.1,49.6,50.4,32.1,33,66.5,-12
108,2019,3.5,C,Marcus Littles,JR,George Washington,West Chester,227,George Washington,A10,32,12,99.1,104.6,0.3502,49,50.1,19.4,15.7,23,26.7,32.8,31.1,49.6,50.4,32.1,33,66.5,-12
109,2018,2.7,PG,Jair Bolden,RS SR,George Washington,South Carolina,227,George Washington,A10,32,12,99.1,104.6,0.3502,49,50.1,19.4,15.7,23,26.7,32.8,31.1,49.6,50.4,32.1,33,66.5,-12
110,2019,2,PG,Shandon Brown,JR,George Washington,Niagara,227,George Washington,A10,32,12,99.1,104.6,0.3502,49,50.1,19.4,15.7,23,26.7,32.8,31.1,49.6,50.4,32.1,33,66.5,-12
111,2019,2,SG,"Terry Nolan, Jr.",RS JR,George Washington,Bradley,227,George Washington,A10,32,12,99.1,104.6,0.3502,49,50.1,19.4,15.7,23,26.7,32.8,31.1,49.6,50.4,32.1,33,66.5,-12
112,2019,4,C,Moustapha Diagne,RS N/A,Western Kentucky,La Salle,117,Western Kentucky,CUSA,29,20,108.5,103.1,0.6438,51.2,50.2,17.7,19.3,25.5,31.1,39.6,21,52,53.5,33.3,30,68.3,-3.2
113,2018,2.7,SF,Jabari McGhee,RS N/A,Western Kentucky,Austin Peay,117,Western Kentucky,CUSA,29,20,108.5,103.1,0.6438,51.2,50.2,17.7,19.3,25.5,31.1,39.6,21,52,53.5,33.3,30,68.3,-3.2
114,2019,2,PF,Galen 'Tolu' Smith III,RS SO,Western Kentucky,Mississippi State,117,Western Kentucky,CUSA,29,20,108.5,103.1,0.6438,51.2,50.2,17.7,19.3,25.5,31.1,39.6,21,52,53.5,33.3,30,68.3,-3.2
115,2019,2,SG,Trevelin Queen,,Western Kentucky,New Mexico State,117,Western Kentucky,CUSA,29,20,108.5,103.1,0.6438,51.2,50.2,17.7,19.3,25.5,31.1,39.6,21,52,53.5,33.3,30,68.3,-3.2
116,2019,2,PG,Dalano Banton,RS SO,Western Kentucky,Nebraska,117,Western Kentucky,CUSA,29,20,108.5,103.1,0.6438,51.2,50.2,17.7,19.3,25.5,31.1,39.6,21,52,53.5,33.3,30,68.3,-3.2
